show_id,country
s528,United States
s528,United Kingdom
s529,India
s530,Egypt
s531,United States
s532,Malaysia
s533,United States
s534,Israel
s535,Indonesia
s536,Canada
s537,Australia
s538,Japan
s539,United Kingdom
s540,Australia
s540,New Zealand
s541,United Kingdom
s541,Germany
s542,India
s543,India
s544,Belgium
s544,Netherlands
s545,Canada
s546,South Korea
s547,Unknown
s548,United States
s549,United States
s550,Unknown
s551,Unknown
s552,India
s553,Unknown
s554,France
s555,Nigeria
s556,South Korea
s556,Czech Republic
s557,South Korea
s558,Australia
s558,United States
s559,United States
s560,United States
s560,Germany
s561,Unknown
s562,United States
s563,United States
s564,United States
s565,United States
s566,Australia
s566,Germany
s567,United States
s567,Germany
s568,United States
s569,United States
s570,Vietnam
s571,Unknown
s572,Unknown
s573,United Kingdom
s573,Belgium
s574,United States
s574,China
s575,United States
s575,China
s576,United States
s577,United Kingdom
s577,Australia
s577,United States
s578,Unknown
s579,France
s579,Japan
s579,United States
s580,United States
s581,Unknown
s582,United States
s583,United States
s584,United States
s584,United Kingdom
s585,United States
s586,United Kingdom
s586,United States
s587,Unknown
s588,Unknown
s589,United States
s590,United Kingdom
s591,Unknown
s592,United States
s593,United States
s594,United States
s595,United States
s595,Germany
s596,Germany
s596,United States
s597,United States
s598,United States
s599,United States
s599,United Kingdom
s600,United States
s601,United States
s602,United States
s603,United States
s604,United States
s605,United Kingdom
s605,Germany
s605,Spain
s605,United States
s606,United States
s607,United Kingdom
s607,United States
s607,France
s607,Italy
s608,United States
s609,United States
s609,Germany
s609,Canada
s610,United States
s610,France
s610,Italy
s610,United Kingdom
s611,United States
s611,United Kingdom
s611,Germany
s611,Hungary
s612,United States
s612,Canada
s613,United States
s613,New Zealand
s614,Nigeria
s615,United States
s615,New Zealand
s616,United States
s617,Unknown
s618,Sweden
s619,United States
s620,Unknown
s621,United States
s622,Unknown
s623,United States
s624,Unknown
s625,Unknown
s626,Mexico
s627,Unknown
s628,China
s629,United States
s630,Unknown
s631,United States
s632,Japan
s633,Unknown
s634,Unknown
s635,France
s636,Lebanon
s637,United States
s637,Canada
s638,Unknown
s639,United States
s640,Unknown
s641,Unknown
s642,Unknown
s643,Japan
s644,United States
s645,Unknown
s646,Unknown
s647,Unknown
s648,Unknown
s649,United States
s650,Unknown
s651,Brazil
s652,Nigeria
s653,Unknown
s654,Unknown
s655,Romania
s656,Romania
s657,Romania
s658,United States
s659,Unknown
s660,Thailand
s661,United States
s662,France
s663,United States
s664,Unknown
s665,Spain
s666,Finland
s666,Germany
s667,Unknown
s668,United States
s669,United States
s670,Spain
s671,Unknown
s672,Unknown
s673,Unknown
s674,Argentina
s675,United States
s676,Japan
s677,United States
s678,Canada
s678,United States
s679,United States
s680,Thailand
s681,United States
s682,United Kingdom
s683,Australia
s684,Unknown
s685,Spain
s686,United States
s687,South Korea
s688,Unknown
s689,Nigeria
s690,Unknown
s691,Unknown
s692,Unknown
s693,Unknown
s694,Unknown
s695,Lebanon
s695,Syria
s696,Unknown
s697,Canada
s697,United States
s698,Unknown
s699,Philippines
s700,Iceland
s701,Unknown
s702,Canada
s703,United States
s704,Turkey
s705,Unknown
s706,Germany
s707,Unknown
s708,Unknown
s709,United States
s710,Argentina
s711,Unknown
s712,Italy
s713,Unknown
s714,United States
s715,Unknown
s716,Unknown
s717,United States
s718,Unknown
s719,United States
s720,United States
s721,Unknown
s722,United States
s723,United States
s724,United States
s725,United States
s725,United Kingdom
s726,Unknown
s727,United States
s728,United States
s729,United States
s730,Unknown
s731,Unknown
s732,South Korea
s733,Unknown
s734,Denmark
s735,France
s735,United States
s736,India
s737,United States
s737,India
s738,Philippines
s738,Singapore
s738,Indonesia
s739,Unknown
s740,China
s740,United States
s740,Canada
s741,United States
s742,Lebanon
s742,United Arab Emirates
s743,Vietnam
s744,Canada
s744,United States
s744,Denmark
s745,Colombia
s746,United Arab Emirates
s747,United States
s748,Nigeria
s749,United States
s750,United States
s751,Mexico
s751,France
s751,Colombia
s752,Unknown
s753,United States
s753,United Kingdom
s754,Colombia
s755,United Kingdom
s755,United States
s756,Netherlands
s757,Nigeria
s758,United States
s759,United Kingdom
s760,Unknown
s761,Unknown
s762,Unknown
s763,South Korea
s764,United States
s765,South Africa
s766,Spain
s767,Mexico
s768,Japan
s769,Sweden
s770,Argentina
s771,United Arab Emirates
s772,Unknown
s773,Italy
s774,Philippines
s775,United States
s776,United States
s777,United States
s778,United States
s779,Japan
s780,United States
s781,United Kingdom
s782,Unknown
s783,Canada
s783,United States
s784,Brazil
s785,United States
s785,Canada
s786,United States
s787,United States
s788,United States
s789,United States
s790,United Kingdom
s791,United States
s792,United States
s793,United States
s794,United States
s795,Nigeria
s796,United States
s797,United States
s798,United States
s799,United States
s800,United States
s801,United States
s802,United States
s803,Germany
s803,United States
s803,France
s804,Japan
s805,Canada
s805,United States
s806,Unknown
s807,Unknown
s808,Unknown
s809,United States
s809,Bulgaria
s810,United States
s811,United States
s812,Unknown
s813,United States
s814,United States
s814,Canada
s815,United States
s816,Unknown
s817,United Kingdom
s817,France
s817,Germany
s817,United States
s818,United States
s819,United States
s820,United States
s821,United Arab Emirates
s822,United Kingdom
s823,United States
s824,United States
s825,United States
s826,United States
s827,United States
s828,Unknown
s829,United States
s830,Unknown
s831,United States
s832,Unknown
s833,Unknown
s834,Israel
s835,United States
s836,Unknown
s837,Thailand
s838,Norway
s838,Denmark
s839,Argentina
s840,Syria
s840,France
s840,Lebanon
s840,Qatar
s841,Italy
s842,Unknown
s843,Unknown
s844,Japan
s845,Unknown
s846,Unknown
s847,United States
s848,Unknown
s849,United States
s850,Unknown
s851,India
s852,Unknown
s853,Unknown
s854,United States
s855,Unknown
s856,United States
s857,Unknown
s858,Spain
s859,Unknown
s860,Egypt
s861,Australia
s862,Unknown
s863,United States
s864,United States
s865,Unknown
s866,United States
s867,United States
s868,United States
s869,Canada
s869,United States
s870,Mexico
s871,United States
s872,India
s873,United States
s874,India
s875,United Kingdom
s876,Unknown
s877,India
s878,India
s879,Belgium
s879,Netherlands
s880,United States
s881,United States
s881,Czech Republic
s882,South Africa
s883,Mauritius
s884,United States
s885,South Korea
s886,Canada
s886,South Africa
s887,Unknown
s888,Austria
s889,Unknown
s890,United States
s891,United States
s892,United Kingdom
s893,India
s894,Unknown
s895,Mexico
s895,Brazil
s896,France
s896,United States
s897,United States
s898,Unknown
s899,Unknown
s900,Spain
s901,United States
s902,United States
s903,South Korea
s904,India
s905,United States
s906,China
s907,Turkey
s908,United States
s909,United States
s910,India
s911,United States
s912,India
s913,Unknown
s914,India
s915,United Kingdom
s915,United States
s916,Germany
s916,France
s917,United States
s918,United States
s919,India
s920,United States
s921,Mexico
s921,United States
s922,United States
s923,United States
s924,Unknown
s925,United States
s926,Unknown
s927,United States
s928,Unknown
s929,United States
s930,Unknown
s931,United States
s932,United States
s933,United Kingdom
s933,France
s933,Spain
s933,United States
s934,United Kingdom
s934,United States
s935,United Kingdom
s935,Canada
s935,United States
s936,United States
s937,Unknown
s938,Unknown
s939,Unknown
s940,Unknown
s941,Unknown
s942,Unknown
s943,United States
s943,Australia
s944,United States
s945,China
s946,United Kingdom
s947,United States
s947,France
s948,United States
s948,United Kingdom
s948,France
s949,United States
s950,United States
s950,Russia
s951,United States
s951,United Kingdom
s951,New Zealand
s952,United States
s953,United States
s954,United States
s955,Canada
s956,France
s956,United States
s957,United States
